City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vila velha,-20.3297,-40.2925,91.35,73,40,14.97,BR,1678118591
1,longyearbyen,78.2186,15.6401,4.84,51,75,13.8,SJ,1678118592
2,college,64.8569,-147.8028,10.08,85,100,0.0,US,1678118402
3,kaitangata,-46.2817,169.8464,45.88,95,40,4.54,NZ,1678118593
4,gigmoto,13.7796,124.39,75.78,87,62,13.29,PH,1678118594
5,rikitea,-23.1203,-134.9692,80.2,79,100,22.35,PF,1678118594
6,luderitz,-26.6481,15.1594,70.79,61,0,33.06,NA,1678118594
7,ornskoldsvik,63.2909,18.7153,25.75,50,0,2.3,SE,1678118595
8,patrocinio,-18.9439,-46.9925,81.84,50,38,8.14,BR,1678118596
9,nusaybin,37.0778,41.2178,62.19,34,40,20.71,TR,1678118597
10,punta arenas,-53.15,-70.9167,55.11,50,75,21.85,CL,1678118586
11,avarua,-21.2078,-159.775,82.45,89,75,16.11,CK,1678118598
12,tucuman,-26.8241,-65.2226,86.0,58,40,6.91,AR,1678118420
13,torbay,47.6666,-52.7314,33.39,83,100,10.36,CA,1678118599
14,iqaluit,63.7506,-68.5145,24.53,100,100,2.3,CA,1678118600
15,tuatapere,-46.1333,167.6833,47.26,93,62,5.3,NZ,1678118600
16,saint george,37.1041,-113.5841,45.25,60,75,1.01,US,1678118427
17,codrington,-38.2667,141.9667,56.05,76,40,17.76,AU,1678118601
18,aswan,24.0934,32.907,94.3,13,0,11.5,EG,1678118602
19,dingle,10.9995,122.6711,73.76,89,16,8.86,PH,1678118603
20,guerrero negro,27.9769,-114.0611,58.55,67,100,17.58,MX,1678118603
21,ushuaia,-54.8,-68.3,53.22,50,40,13.8,AR,1678118440
22,cabo san lucas,22.8909,-109.9124,73.51,48,8,1.88,MX,1678118328
23,mataura,-46.1927,168.8643,43.77,98,45,2.73,NZ,1678118605
24,den helder,52.9599,4.7593,40.96,88,75,24.0,NL,1678118606
25,keti bandar,24.1447,67.4497,77.31,65,0,11.05,PK,1678118607
26,barrow,71.2906,-156.7887,14.02,85,40,11.5,US,1678118607
27,constitucion,-35.3333,-72.4167,67.57,68,30,6.96,CL,1678118608
28,kerouane,9.2667,-9.0167,98.62,18,98,7.58,GN,1678118609
29,harper,4.375,-7.7169,85.01,69,83,8.03,LR,1678118610
30,senador jose porfirio,-2.5908,-51.9542,81.61,83,68,3.31,BR,1678118611
31,hobart,-42.8794,147.3294,60.66,75,100,14.97,AU,1678118428
32,kapaa,22.0752,-159.319,69.1,93,88,3.0,US,1678118612
33,jamestown,42.097,-79.2353,36.72,93,100,0.0,US,1678118377
34,tual,-5.6667,132.75,81.75,80,100,17.6,ID,1678118613
35,tasiilaq,65.6145,-37.6368,23.16,80,22,9.51,GL,1678118614
36,hermanus,-34.4187,19.2345,66.79,73,91,15.68,ZA,1678118615
37,cape town,-33.9258,18.4232,73.11,71,20,20.71,ZA,1678118355
38,sao filipe,14.8961,-24.4956,74.14,71,100,10.65,CV,1678118616
39,cururupu,-1.8283,-44.8683,82.94,81,91,6.96,BR,1678118617
40,esperance,-33.8667,121.9,60.8,64,27,8.59,AU,1678118618
41,khatanga,71.9667,102.5,-17.34,100,100,4.5,RU,1678118619
42,mashivka,49.4431,34.8669,32.92,71,98,5.3,UA,1678118620
43,tuktoyaktuk,69.4541,-133.0374,-29.2,75,20,3.44,CA,1678118620
44,bambous virieux,-20.3428,57.7575,79.05,83,75,1.14,MU,1678118621
45,fortuna foothills,32.6578,-114.4119,57.25,52,0,10.36,US,1678118621
46,maldonado,-34.6667,-54.9167,88.23,21,0,8.7,UY,1678118436
47,hailar,49.2,119.7,11.08,86,85,6.8,CN,1678118622
48,umarga,17.8333,76.6167,86.16,20,34,1.57,IN,1678118622
49,la ronge,55.1001,-105.2842,-19.95,63,40,1.14,CA,1678118623
50,port moresby,-9.4431,147.1797,76.42,88,40,5.75,PG,1678118365
51,ati,13.2154,18.3353,99.32,6,79,12.53,TD,1678118623
52,manaure,11.7751,-72.4445,84.72,58,87,16.73,CO,1678118624
53,saskylakh,71.9167,114.0833,-13.52,98,100,3.44,RU,1678118624
54,saint-philippe,-21.3585,55.7679,81.99,91,100,9.71,RE,1678118624
55,sitka,57.0531,-135.33,13.5,75,1,6.24,US,1678118625
56,sao jose da coroa grande,-8.8978,-35.1478,83.79,65,100,10.8,BR,1678118625
57,turukhansk,65.8167,87.9833,2.8,87,100,13.96,RU,1678118626
58,albany,42.6001,-73.9662,42.37,50,34,3.0,US,1678118369
59,new norfolk,-42.7826,147.0587,60.3,65,100,4.0,AU,1678118626
60,busselton,-33.65,115.3333,57.96,77,0,12.95,AU,1678118627
61,mar del plata,-38.0023,-57.5575,92.82,70,0,14.97,AR,1678118438
62,laguna,38.421,-121.4238,46.92,80,75,11.5,US,1678118628
63,carnarvon,-24.8667,113.6333,77.25,68,0,21.03,AU,1678118628
64,thompson,55.7435,-97.8558,-14.64,76,20,5.75,CA,1678118441
65,nikolskoye,59.7035,30.7861,28.29,96,100,3.27,RU,1678118629
66,bredasdorp,-34.5322,20.0403,66.27,71,100,11.5,ZA,1678118630
67,trincomalee,8.5711,81.2335,80.89,75,3,12.26,LK,1678118630
68,novobirilyussy,56.9514,90.6661,25.39,89,100,10.96,RU,1678118630
69,bluff,-46.6,168.3333,52.25,86,50,5.7,NZ,1678118631
70,acajutla,13.5928,-89.8275,86.2,49,34,6.71,SV,1678118631
71,upernavik,72.7868,-56.1549,21.2,82,50,1.83,GL,1678118438
72,vikhorevka,56.1201,101.1636,15.39,100,93,2.46,RU,1678118632
73,chuy,-33.6971,-53.4616,80.28,46,16,11.63,UY,1678118632
74,tommot,58.9564,126.2925,-2.4,97,99,3.06,RU,1678118633
75,nantucket,41.2835,-70.0995,46.99,66,3,30.11,US,1678118480
76,lebu,-37.6167,-73.65,65.12,77,5,10.8,CL,1678118633
77,douentza,14.9951,-2.9517,100.78,7,51,13.89,ML,1678118634
78,roma,43.2128,-75.4557,38.73,59,0,6.91,US,1678118523
79,paliyad,22.25,71.5667,76.8,43,100,25.5,IN,1678118634
80,leningradskiy,69.3833,178.4167,-26.82,99,67,4.52,RU,1678118635
81,port hardy,50.6996,-127.4199,37.4,100,75,4.61,CA,1678118635
82,itupiranga,-5.1347,-49.3267,86.32,68,39,3.56,BR,1678118603
83,airai,-8.9266,125.4092,58.82,91,96,1.9,TL,1678118636
84,narsaq,60.9167,-46.05,55.62,87,1,5.28,GL,1678118636
85,tambilil,5.9622,124.6697,77.94,87,90,2.21,PH,1678118637
86,namalenga,-10.95,39.1,76.6,77,35,5.12,TZ,1678118637
87,rongcheng,30.634,117.8517,60.21,48,99,3.22,CN,1678118638
88,maracaju,-21.6144,-55.1683,88.7,54,3,8.97,BR,1678118638
89,pangnirtung,66.1451,-65.7125,30.2,86,75,3.44,CA,1678118639
90,birobidzhan,48.8,132.95,17.91,94,63,4.7,RU,1678118639
91,honiara,-9.4333,159.95,77.54,87,98,6.71,SB,1678118640
92,hilo,19.7297,-155.09,72.28,71,1,4.43,US,1678118640
93,boguchany,58.3814,97.4531,4.01,100,88,3.51,RU,1678118640
94,anadyr,64.75,177.4833,-17.9,63,0,13.42,RU,1678118641
95,bakchar,57.0186,82.0711,29.79,93,100,14.83,RU,1678118641
